recall,wrecall,precision,wprecision,pred_node_count,pred_nb_node_count,pred_formula_count,pred_edge_count
0.7131783,0.95867586,0.017607043,0.017729366,1807,812,2499,33892
0.858871,0.9353109,0.17173253,0.15907243,3269,2594,1316,22082
0.85045046,0.9765063,0.26100627,0.27615386,2281,1730,636,14328
0.9009009,0.9227618,0.18104668,0.22842762,2281,1730,707,14328
0.92991453,0.9822822,0.18778487,0.21054615,2803,2172,1097,18656
0.8684583,0.9356053,0.1821366,0.11917068,3044,2382,1142,19920
0.82887703,0.9773607,0.050468266,0.038871203,3930,2971,1922,94778
0.9509202,0.99840397,0.046522133,0.035818025,4363,3233,2214,109472
0.66937673,0.82988787,0.046363924,0.03679769,5257,4038,3149,142316
0.778481,0.9686603,0.016748767,0.015853845,2877,1410,3045,54268
0.76237625,0.9385487,0.023431867,0.025680035,1762,1115,2774,33740
0.9142857,0.99762386,0.010580081,0.012320653,1998,894,2741,39642
0.8558559,0.99714637,0.018087855,0.011944252,1761,858,1935,26620
0.86868685,0.99700654,0.01194605,0.009633721,2451,1203,2595,42740
0.9431819,0.9977087,0.011192725,0.009876736,2734,1341,2859,50266
0.92134833,0.9975172,0.010698763,0.009789498,2877,1410,2991,54268
0.82222223,0.9959001,0.00921659,0.008994782,3166,1548,3255,62760
0.9710145,0.9979589,0.008240977,0.008244846,3459,1686,3519,71916
0.9821429,0.9999185,0.0066085113,0.006057862,3756,1824,3783,81752
0.8086956,0.9420592,0.01414713,0.0161378,1575,1003,2474,28432
0.8666667,0.9624095,0.010614934,0.015281972,1762,1115,2732,33740
0.8363636,0.96648073,0.011281588,0.01196195,1392,891,2216,23612
0.97183096,0.99950325,0.013839058,0.027302548,818,390,1951,13178
0.882353,0.9959405,0.02781457,0.026092488,2516,2175,1510,49634
1.0,0.99999994,0.016678752,0.012485884,1308,580,1379,18292
0.980198,0.9999157,0.01762365,0.016093802,1722,756,1759,27524
0.94827586,0.97928774,0.029278144,0.023415381,1935,844,1981,32888
0.8555556,0.99353063,0.025316454,0.017423159,1287,956,1422,10048
0.7655502,0.9633936,0.01859168,0.018403642,4588,3226,4303,33024
0.70731705,0.92546636,0.010615712,0.016049594,3000,1291,1884,22908
0.72611463,0.8649026,0.072150074,0.06142767,795,494,693,6032
